Designator,Mid X,Mid Y,Rotation,Layer
C1,78.15,-34.8,0,top
C10,59.9125,-46.824998,0,top
C11,59.9125,-45.829998,0,top
C12,59.9125,-44.834999,0,top
C13,59.9125,-43.839999,0,top
C14,59.9125,-42.845,0,top
C15,59.9125,-41.85,0,top
C16,47.875,-44.9,180,top
C17,47.875,-43.925,180,top
C18,49.175,-58.413256,270,top
C19,51,-63.989879,270,top
C2,78.15,-32.25,0,top
C20,49.175,-64.164879,270,top
C21,51,-69.741503,270,top
C22,49.175,-69.916503,270,top
C23,51,-75.493126,270,top
C24,49.175,-75.668126,270,top
C25,51,-81.24475,270,top
C26,49.175,-81.41975,270,top
C27,51,-86.996373,270,top
C28,49.175,-87.171373,270,top
C29,51,-92.747997,270,top
C3,77.78,-84.32,270,top
C30,49.175,-92.922997,270,top
C31,51,-98.49962,270,top
C32,49.175,-98.67462,270,top
C33,79.75,-103.9,180,top
C34,74.875,-102.875,180,top
C35,97.775001,-93.962501,180,top
C36,104.974999,-93.962501,180,top
C37,53.5125,-39.825001,180,top
C38,59.9125,-40.85,180,top
C39,53.512501,-29.775,180,top
C4,46.675,-143.55,270,top
C40,58.375,-30.8,180,top
C41,83.024998,-99.187502,270,top
C42,84.049998,-94.312502,270,top
C43,71.93,-109.47,180,top
C44,61.9075,-128.5,180,top
C45,86.59,-109.51,180,top
C46,77.24,-128.37,180,top
C47,101.2375,-109.39,180,top
C48,92.5975,-128.45,180,top
C49,115.9975,-105.25,180,top
C5,51.75,-111.692501,180,top
C50,107.9075,-128.51,180,top
C51,105,-45.475,90,top
C52,105,-48.0125,90,top
C53,105,-50.55,90,top
C54,104.5,-39.875,0,top
C55,105,-53.05,270,top
C57,91.625,-99.45,90,top
C58,91.625,-101.35,270,top
C59,90.525,-91.275,0,top
C6,50.05,-134.324998,180,top
C60,88.6,-91.275,180,top
C61,86.675,-91.275,0,top
C62,84.75,-91.275,180,top
C7,51.7425,-107.167501,0,top
C8,53.65,-129.675,270,top
C9,51,-58.238256,270,top
D1,78.26,-114.21,180,top
D10,69.39,-122.02,270,top
D11,59.3675,-141.02,270,top
D12,84.05,-122.02,270,top
D13,74.7,-141.02,270,top
D14,98.6975,-122.02,270,top
D15,90.0575,-141.02,270,top
D16,113.457501,-117.72,270,top
D17,105.3675,-141.02,270,top
D18,37.5,-67,90,top
D19,37.5,-76.090909,90,top
D2,58.314999,-114.145001,90,top
D20,37.5,-85.181818,90,top
D21,37.5,-94.272727,90,top
D22,37.5,-103.363637,90,top
D23,37.5,-112.454546,90,top
D24,37.5,-121.545455,90,top
D25,37.5,-130.636364,90,top
D26,37.5,-70.5,90,top
D27,37.5,-79.590909,90,top
D28,37.5,-88.681818,90,top
D29,37.5,-97.772727,90,top
D3,68.2375,-133.21,180,top
D30,37.5,-106.863637,90,top
D31,37.5,-115.954546,90,top
D32,37.5,-125.045455,90,top
D33,37.5,-134.136364,90,top
D4,92.92,-114.21,180,top
D5,83.57,-133.21,180,top
D6,107.5675,-114.21,180,top
D7,98.9275,-133.21,180,top
D8,122.3275,-109.91,180,top
D9,114.2375,-133.21,180,top
J1,35.95,-144.05,180,top
J10,76,-122,180,top
J11,66,-141,180,top
J12,90.666667,-122,180,top
J13,81.333333,-141,180,top
J14,105.333333,-122,180,top
J15,96.666667,-141,180,top
J16,120.1,-117.7,180,top
J17,112,-141,180,top
J18,28.25,-33,180,top
J19,28.25,-51.181818,180,top
J2,28.25,-69.4,0,top
J20,28.25,-60.272727,180,top
J21,27,-42.090909,180,top
J22,42,-24.325,180,top
J23,119.85,-52.056818,180,top
J24,119.85,-60.972727,180,top
J25,119.85,-69.888637,180,top
J26,119.85,-78.804546,180,top
J27,119.85,-87.720455,180,top
J28,119.85,-96.636364,180,top
J29,119.85,-42.090909,180,top
J3,28.25,-78.45,0,top
J30,122.35,-33,180,top
J4,28.25,-87.55,0,top
J5,28.25,-96.65,0,top
J6,28.25,-105.75,0,top
J7,28.25,-114.8,0,top
J8,28.25,-123.9,0,top
J9,28.25,-133,0,top
JP2,65,-39,180,top
L1,51.75,-119.1,180,top
Q1,45.825,-58.400756,90,top
Q10,60,-24.525,180,top
Q12,61.9075,-132.107499,90,top
Q13,86.59,-113.107499,90,top
Q14,77.24,-132.107499,90,top
Q15,101.2375,-113.107499,90,top
Q16,92.5975,-132.107499,90,top
Q17,115.9975,-108.807499,90,top
Q18,107.9075,-132.107499,90,top
Q2,45.825,-64.152379,90,top
Q3,71.93,-113.1075,90,top
Q4,45.825,-69.904003,90,top
Q5,45.825,-75.655626,90,top
Q6,45.825,-81.40725,90,top
Q7,45.825,-87.158873,90,top
Q8,45.825,-92.910497,90,top
Q9,45.825,-98.66212,90,top
R1,69.39,-119.52,270,top
R10,98.6975,-119.52,270,top
R100,90.525,-90.275,180,top
R101,88.6,-90.275,0,top
R102,86.675,-90.275,180,top
R103,84.75,-90.275,0,top
R104,117.775,-91.47,180,top
R105,117.775,-100.375,180,top
R106,117.775,-82.565,180,top
R107,117.775,-73.66,180,top
R108,117.775,-64.755,180,top
R109,117.775,-55.85,180,top
R11,90.0575,-138.52,270,top
R110,90.15,-100.9,180,top
R111,89.175,-93.375,270,top
R112,88.15,-93.375,270,top
R113,87.125,-93.375,270,top
R114,86.1,-93.375,270,top
R115,78.15,-39.9,180,top
R116,78.15,-42.4,180,top
R117,69.4525,-107.8,0,top
R118,85.869999,-107.8,180,top
R119,81.484999,-108.45,180,top
R12,113.457501,-115.22,270,top
R120,99.337499,-106.5,180,top
R121,94.759999,-107.15,180,top
R122,82.525,-104.690001,270,top
R123,78.15,-75.45,180,top
R124,101.85,-106.359999,90,top
R13,105.3675,-138.52,270,top
R14,66,-55.67462,90,top
R15,52.05,-58.238256,270,top
R16,51.5,-56.188256,0,top
R17,48.125,-58.400756,90,top
R18,52.05,-63.989879,270,top
R19,51.5,-61.939879,0,top
R2,59.3675,-138.52,270,top
R20,48.65,-62.639879,180,top
R21,48.125,-64.152379,90,top
R22,36,-67,270,top
R23,66,-61.426243,90,top
R24,52.05,-69.741503,270,top
R25,51.5,-67.691503,0,top
R26,48.65,-68.391503,180,top
R27,48.125,-69.904003,90,top
R28,74.03,-111.1325,270,top
R29,36,-70.515001,270,top
R3,84.05,-119.52,270,top
R30,64.0075,-130.1325,270,top
R31,36,-79.590001,270,top
R32,88.69,-111.132499,270,top
R33,36.025,-88.690001,270,top
R34,79.34,-130.132499,270,top
R35,36,-97.790001,270,top
R36,103.3375,-111.1325,270,top
R37,36,-106.865001,270,top
R38,94.6975,-130.1325,270,top
R39,36,-115.965001,270,top
R4,48.775,-125.075001,0,top
R40,118.097501,-106.832499,270,top
R41,36,-125.040001,270,top
R42,110.0075,-130.132499,270,top
R43,36,-134.140001,270,top
R44,36,-76.090909,270,top
R45,66,-67.177867,90,top
R46,52.05,-75.493126,270,top
R47,51.5,-73.443126,0,top
R48,48.65,-74.143126,180,top
R49,48.125,-75.655626,90,top
R5,48.775,-123.499999,0,top
R50,36,-85.181818,270,top
R51,66,-72.92949,90,top
R52,52.05,-81.24475,270,top
R53,51.5,-79.19475,0,top
R54,48.65,-79.89475,180,top
R55,48.125,-81.40725,90,top
R56,36,-94.272727,270,top
R57,66,-78.681114,90,top
R58,52.05,-86.996373,270,top
R59,51.5,-84.946373,0,top
R6,102.775001,-93.962501,180,top
R60,48.65,-85.646373,180,top
R61,48.125,-87.158873,90,top
R62,36,-103.363637,270,top
R63,66,-84.432737,90,top
R64,52.05,-92.747997,270,top
R65,51.5,-90.697997,0,top
R66,48.65,-91.397997,180,top
R67,48.125,-92.910497,90,top
R68,36,-112.454546,270,top
R69,66,-90.184361,90,top
R7,109.999999,-93.962501,180,top
R70,52.05,-98.49962,270,top
R71,51.5,-96.44962,0,top
R72,48.65,-97.14962,180,top
R73,48.125,-98.66212,90,top
R74,36,-121.545455,270,top
R75,66,-95.935984,90,top
R76,78.15,-60.19,180,top
R77,78.15,-67.81,180,top
R78,36,-130.636364,270,top
R79,76.8,-102.875,180,top
R8,74.7,-138.52,270,top
R81,55.435,-39.825001,180,top
R84,55.4375,-29.775,180,top
R9,48.65,-56.888256,180,top
R90,83.024998,-97.240001,270,top
R91,97.75,-39.1,270,top
R92,97.75,-44.975,0,top
R93,97.75,-47.5125,0,top
R94,97.75,-50.05,0,top
R95,97.75,-52.55,0,top
R96,75.559999,-110.625,180,top
R97,90.15,-99.9,180,top
R98,92.625,-99.45,270,top
R99,92.625,-101.35,90,top
SW1,100.3,-99.537501,270,top
SW2,107.5,-99.537501,270,top
U10,59.375,-91.972997,180,top
U11,59.375,-97.72462,180,top
U12,59.375,-57.463256,180,top
U13,53.5125,-33.075,270,top
U14,86.324998,-99.187501,0,top
U2,74.875,-106.175,270,top
U3,53.5125,-43.125,270,top
U4,50.05,-129.675,270,top
U5,59.375,-63.214879,180,top
U6,59.375,-68.966503,180,top
U7,59.375,-74.718126,180,top
U8,59.375,-80.46975,180,top
U9,59.375,-86.221373,180,top
P1,75.3,-58.16,90,top
P2,100.7,-58.16,90,top
